  # unexplored nodes    LB at node            LB            UB         Gap at node                 Gap   # columns in pool    # BB Nodes
                  32         62694       62563.7       72839.9            16.1832%            16.4251%                4410            71
                  33         62621       62568.1       72839.9            16.3187%             16.417%                4420            73
                  34       62875.1       62568.1       72839.9            15.8486%             16.417%                4713            75
                  35       62623.1         62621       72839.9            16.3147%            16.3187%                4730            77
                  36       64414.9         62621       72839.9            13.0793%            16.3187%                4784            79
                  38       62789.4       62623.1       72839.9            16.0067%            16.3147%                4808            82
                  38       63309.6         62635       72839.9            15.0534%            16.2926%                4848            84
                  38       62883.3       62639.7       72839.9            15.8334%            16.2838%                5304            86
                  39       62883.3       62639.7       72839.9            15.8334%            16.2838%                5435            88
                  41       62694.6         62694       72839.9            16.1821%            16.1832%                5441            91
                  42       62823.7       62694.6       72839.9            15.9434%            16.1821%                5467            94
                  42       63497.4       62789.4       72839.9            14.7131%            16.0067%                5561            97
                  44       66756.8       62789.4       72839.9            9.11228%            16.0067%                5611           100
                  45       66538.2       62789.4       72839.9            9.47072%            16.0067%                5649           102
                  46       63530.7       62823.7       72839.9            14.6531%            15.9434%                5803           104
                  47       66532.1       62823.7       72839.9            9.48084%            15.9434%                5853           106
                  48       66772.7       62823.7       72839.9            9.08625%            15.9434%                5904           108
                  48       62934.9       62874.1       72839.9            15.7384%            15.8503%                5927           110
                  48       62931.8       62875.1       72839.9            15.7442%            15.8486%                5955           112
                  49       66647.6       62882.3       72839.9            9.29103%            15.8352%                6010           114
                  50       62944.3       62882.3       72839.9            15.7212%            15.8352%                6030           116
                  50       62891.2       62883.3       72839.9            15.8188%            15.8334%                6035           118
                  51       62909.4       62883.3       72839.9            15.7854%            15.8334%                6048           120
                  51       62953.3       62891.2       72839.9            15.7047%            15.8188%                6069           122
                  52       69532.7       62891.2       72839.9            4.75633%            15.8188%                6198           124
                  52       63283.2       62903.9       72839.9            15.1014%            15.7955%                6253           126
                  53       63309.4       62909.4       72839.9            15.0537%            15.7854%                6291           128
                  52       63228.9       62931.8       72839.9            15.2002%            15.7442%                6309           130
                  54       65527.4       62934.9       72406.8            10.4985%            15.0502%                6447           133
                  55         63238       62934.9       72406.8            14.4988%            15.0502%                6472           135
                  56       63283.2       62944.3       72406.8             14.417%            15.0331%                6487           137
                  57       63231.6       62944.3       72406.8            14.5105%            15.0331%                6501           139
                  56       63403.6       62953.3       72406.8            14.1998%            15.0167%                6559           141
                  55       63294.2       63228.9       72406.8            14.3972%            14.5153%                6582           143
                  56       63374.1       63231.6       72406.8             14.253%            14.5105%                6612           145
                  56       63305.6         63238       72406.8            14.3766%            14.4988%                6636           147
                  55       63374.1       63283.2       72406.8             14.253%             14.417%                6654           149
                  55       63283.6       63283.2       72406.8            14.4164%             14.417%                6659           151
                  56       63334.5       63283.6       72406.8            14.3244%            14.4164%                6705           153
                  57         63475       63283.6       72406.8            14.0714%            14.4164%                6992           155
                  59       63303.6       63294.2       72406.8            14.3802%            14.3972%                7015           158
                  60       66572.1       63294.2       72406.8            8.76453%            14.3972%                7059           160
                  61       63867.1       63303.6       72406.8            13.3711%            14.3802%                7134           162
                  62       66725.7       63303.6       72406.8            8.51412%            14.3802%                7173           164
                  64       67065.3       63303.6       72406.8            7.96464%            14.3802%                7232           167
                  65       63306.5       63305.6       72406.8            14.3749%            14.3766%                7269           170
                  66       63867.1       63306.5       72406.8            13.3711%            14.3749%                7294           172
                  67       66725.7       63306.5       72406.8            8.51412%            14.3749%                7353           174
                  69       67065.3       63306.5       72406.8            7.96464%            14.3749%                7443           177
                  69       63334.2       63309.4       72406.8             14.325%            14.3696%                8142           179
                  70       63310.8       63309.6       72406.8            14.3672%            14.3693%                8158           181
                  71       64545.9       63310.8       72406.8            12.1787%            14.3672%                8235           184
                  71       63334.5       63334.2       72406.8            14.3244%             14.325%                8237           186
                  71         71208       63334.5       72406.8            1.68355%            14.3244%                8313           188
                  72       63351.6       63334.5       72406.8            14.2936%            14.3244%                8332           190
                  73       63351.6       63334.5       72406.8            14.2936%            14.3244%                8358           192
                  74       63450.1       63351.6       72406.8            14.1161%            14.2936%                8372           195
                  75         63476       63351.6       72406.8            14.0696%            14.2936%                8570           197
                  77       63484.2       63351.6       72406.8            14.0548%            14.2936%                8592           200
                  79       63788.9       63351.6       72406.8            13.5101%            14.2936%                8930           203
                  80       63546.8       63374.1       72406.8            13.9425%             14.253%                9136           205
                  81         63478       63374.1       72406.8             14.066%             14.253%                9185           207
                  82         63478       63374.1       72406.8             14.066%             14.253%                9239           209
                  83         64138       63374.1       72406.8            12.8921%             14.253%                9682           211
                  84       63430.8       63403.6       72406.8            14.1508%            14.1998%                9766           213
                  85       63469.6       63403.6       72406.8             14.081%            14.1998%               10070           215
                  86       64304.3       63430.8       72406.8            12.6003%            14.1508%               10097           217
                  86       66189.5       63450.1       72406.8            9.39314%            14.1161%               10161           219
                  87         66994       63450.1       72406.8            8.07948%            14.1161%               10214           221
                  87         64787       63469.6       72406.8            11.7612%             14.081%               10317           223
                  87       64203.5         63475       72406.8            12.7769%            14.0714%               10494           225
                  88       63739.7         63476       72406.8            13.5977%            14.0696%               11419           228
                  90       63739.7         63476       72406.8            13.5977%            14.0696%               11945           231
                  92       63523.8         63478       72406.8            13.9836%             14.066%               11955           234
                  92       63520.2         63478       72406.8            13.9902%             14.066%               12051           236
                  93       68146.2         63478       72406.8            6.25208%             14.066%               12112           238
                  94       67590.5       63480.8       72406.8            7.12563%             14.061%               12265           240
                  95       63969.4       63480.8       72406.8            13.1898%             14.061%               12314           242
                  96       67260.4       63484.2       72406.8            7.65141%            14.0548%               12414           244
                  96       66344.6       63484.2       72406.8            9.13739%            14.0548%               12472           246
                  97         64718       63497.4       72406.8            11.8805%             14.031%               12551           248
                  98       65255.1       63497.4       72308.4            10.8087%             13.876%               12633           250
                  99       65255.1       63497.4       72198.9            10.6409%            13.7036%               12749           252
                 101       63526.1       63520.2       72198.9            13.6524%            13.6629%               12814           255
                 102       63542.4       63520.2       72198.9            13.6232%            13.6629%               13383           257
                 102       65119.4       63523.8       72198.9            10.8716%            13.6564%               13475           259
                 104         67081       63523.8       72198.9            7.62938%            13.6564%               13556           262
                 105       65119.4       63526.1       72198.9            10.8716%            13.6524%               13620           264
                 107         67081       63526.1       72198.9            7.62938%            13.6524%               13715           267
                 108       63532.3       63530.7       72198.9            13.6413%            13.6442%               13766           270
                 108       64738.6       63532.3       72198.9            11.5238%            13.6413%               13854           272
                 109       65255.1       63532.3       72198.9            10.6409%            13.6413%               13941           274
                 110       65255.1       63532.3       72198.9            10.6409%            13.6413%               14007           276
                 111       63665.4       63542.4       72198.9            13.4036%            13.6232%               14044           278
                 110       63943.2       63546.8       72198.9             12.911%            13.6154%               15118           280
                 111       63813.8       63665.4       72198.9              13.14%            13.4036%               15162           282
                 112       64119.3       63665.4       72198.9            12.6008%            13.4036%               15460           284
                 112       63713.6       63710.8       72198.9            13.3178%            13.3228%               15560           286
                 113       64460.3       63713.6       72198.9            12.0052%            13.3178%               15616           288
                 112       66360.5       63739.7       72198.9            8.79803%            13.2715%               15773           290
                 112       65277.4       63739.7       72198.9            10.6032%            13.2715%               15913           292
                 109       65342.4       63788.9       72198.9            10.4932%            13.1842%               16050           294
                 110       67400.4       63813.8       72198.9            7.11945%              13.14%               16104           296
                 109       63854.2       63831.4       72198.9            13.0683%            13.1087%               16110           298
                 110       64328.1       63854.2       72198.9            12.2354%            13.0683%               16218           300
                 111       67870.8       63854.2       72198.9            6.37689%            13.0683%               16421           302
                 112       65448.2       63856.2       72198.9            10.3146%            13.0647%               16534           304
                 113       65754.5       63856.2       72198.9             9.8007%            13.0647%               16905           306
                 115       64211.5       63867.1       72198.9            12.4391%            13.0456%               17190           309
                 116       64070.2       63867.1       72198.9            12.6871%            13.0456%               17196           311
                 118       64059.8       63867.1       72198.9            12.7055%            13.0456%               17392           314
                 120       64059.8       63867.1       72198.9            12.7055%            13.0456%               17392           317
                 119       64004.3       63969.4       72198.9            12.8033%            12.8648%               17703           319
                 120       67590.5       63969.4       72198.9            6.81804%            12.8648%               17921           321
                 121       64036.2       64004.3       72198.9            12.7469%            12.8033%               17926           323
                 122       65391.3       64004.3       72198.9            10.4105%            12.8033%               18147           325
                 123       64077.5       64036.2       72198.9            12.6742%            12.7469%               18170           327
                 124       64177.4       64036.2       72198.9            12.4989%            12.7469%               18429           329
                 127       65806.5       64059.8       72198.9            9.71393%            12.7055%               18563           333
                 129         65480       64059.8       72198.9             10.261%            12.7055%               18656           336
                 131         65480       64059.8       72198.9             10.261%            12.7055%               18737           339
                 134       65806.5       64059.8       72198.9            9.71393%            12.7055%               18866           343
                 137       65806.5       64059.8       72198.9            9.71393%            12.7055%               18995           347
                 140       65806.5       64059.8       72198.9            9.71393%            12.7055%               19188           351
                 142       64211.5       64070.2       72198.9            12.4391%            12.6871%               19328           354
                 144       64207.7       64070.2       72198.9            12.4458%            12.6871%               19339           357
                 145       64343.4       64077.5       72198.9            12.2086%            12.6742%               19408           359
                 143       64172.7         64138       72198.9            12.5072%             12.568%               19788           362
                 145       64228.6       64172.7       72198.9            12.4093%            12.5072%               19858           365
                 144       64343.4       64177.4       72132.7            12.1058%            12.3957%               21849           367
                 143       64242.3       64203.5       72132.7            12.2823%              12.35%               23107           369
                 143         66419       64207.7       72132.7            8.60252%            12.3427%               23194           371
                 145         67081       64207.7       72132.7            7.53069%            12.3427%               23224           374
                 146       66522.4       64211.5       72132.7            8.43375%             12.336%               23859           376
                 147       64325.9       64211.5       72132.7            12.1363%             12.336%               23904           378
                 147       66418.4       64211.5       72132.7            8.60342%             12.336%               25155           380
                 147       64325.9       64211.5       72132.7            12.1363%             12.336%               25873           382
                 149       67245.2       64228.6       72132.7            7.26818%            12.3062%               26236           385
                 149       64258.7       64242.3       72132.7            12.2535%            12.2823%               26299           388
                 151       64273.9       64242.3       72132.7             12.227%            12.2823%               26936           391
                 152       68822.7       64258.7       72132.7            4.80944%            12.2535%               27099           393
                 151       68852.9       64273.9       72132.7            4.76346%             12.227%               27232           395
                 149       65312.4       64304.3       72132.7            10.4426%             12.174%               27315           397
                 151       64877.7       64325.9       72132.7            11.1825%            12.1363%               27362           400
                 153       67313.4       64325.9       72132.7            7.15949%            12.1363%               28242           403
                 155       64877.7       64325.9       72132.7            11.1825%            12.1363%               28270           406
                 156         66596       64325.9       72132.7            8.31387%            12.1363%               29206           408
                 157         64340       64328.1       72132.7            12.1117%            12.1325%               29215           410
                 158       65440.9       64328.1       72132.7            10.2257%            12.1325%               29372           412
                 159       64343.5         64340       72132.7            12.1057%            12.1117%               29399           414
                 160       64343.5         64340       72129.3            12.1005%            12.1065%               29624           416
                 162       64546.1       64343.4       72129.3            11.7486%            12.1005%               29704           419
                 163       64343.5       64343.4       72129.3            12.1005%            12.1005%               29721           421
                 164       66153.5       64343.4       72129.3            9.03329%            12.1005%               29885           423
                 165       64385.3       64343.4       72129.3            12.0276%            12.1005%               29905           425
                 165       64344.1       64343.5       72129.3            12.0994%            12.1005%               29940           427
                 165       64344.1       64343.5       72129.3            12.0994%            12.1005%               30003           429
                 165       64344.1       64343.5       72129.3            12.0994%            12.1005%               30047           431
                 167       64385.9       64344.1       72129.3            12.0266%            12.0994%               30070           434
                 168       65932.2       64344.1       72129.3            9.39919%            12.0994%               30261           436
                 170       64385.9       64344.1       72129.3            12.0266%            12.0994%               30271           439
                 171       65932.2       64344.1       72129.3            9.39919%            12.0994%               30558           441
                 173       64385.9       64344.1       72129.3            12.0266%            12.0994%               30584           444
                 174         66154       64344.1       72129.3            9.03245%            12.0994%               30806           446
                 176       64385.3       64385.3       72129.3            12.0276%            12.0276%               30826           449
                 178         65276       64385.3       72129.3            10.4991%            12.0276%               30906           453
                 179         68707       64385.3       72129.3            4.98106%            12.0276%               31007           455
                 181       68929.7       64385.3       72129.3            4.64189%            12.0276%               31075           458
                 184         65276       64385.9       72129.3            10.4991%            12.0266%               31134           462
                 185       68683.9       64385.9       72082.6            4.94842%            11.9541%               31171           464
                 186       68741.3       64385.9       72082.6            4.86078%            11.9541%               31217           466
                 188       68929.7       64385.9       72082.6            4.57416%            11.9541%               31262           469
                 190       68780.1       64385.9       72082.6            4.80153%            11.9541%               31306           472
                 193         65276       64385.9       72082.6            10.4276%            11.9541%               31359           476
                 194       68683.9       64385.9       72082.6            4.94842%            11.9541%               31395           478
                 197         65276       64385.9       72082.6            10.4276%            11.9541%               31458           482
                 199       68780.1       64385.9       72082.6            4.80153%            11.9541%               31501           485
                 199       64415.4       64414.9       72082.6            11.9029%            11.9037%               31556           487
                 201       64479.1       64415.4       72082.6            11.7923%            11.9029%               31584           490
                 203       64479.1       64415.4       72082.6            11.7923%            11.9029%               31638           493
                 204       64509.2       64460.3       72082.6            11.7401%            11.8248%               31654           495
                 205       65697.3       64460.3       72082.6            9.71935%            11.8248%               31878           497
                 206       65156.8       64479.1       72082.6            10.6295%            11.7923%               31923           499
                 207       67971.3       64479.1       72082.6            6.04867%            11.7923%               31976           501
                 208       68140.5       64479.1       72082.6            5.78529%            11.7923%               32008           503
                 210       65402.8       64479.1       72082.6            10.2134%            11.7923%               32045           506
                 211       68703.3       64479.1       72082.6             4.9186%            11.7922%               32102           508
                 213       68819.5       64479.1       72082.6            4.74143%            11.7922%               32177           511
                 213         64752       64509.2       72082.6            11.3211%              11.74%               32209           513
                 214       64977.3       64545.9       72082.6             10.935%            11.6764%               32249           515
                 215       66519.8       64545.9       72082.6            8.36262%            11.6764%               32320           517
                 216       66380.9       64545.9       72082.6            8.58941%            11.6764%               32387           519
                 218       68852.6       64546.1       72082.6            4.69115%            11.6762%               32429           522
                 221       65525.2       64546.1       72082.6            10.0074%            11.6762%               32474           526
                 222       68709.4       64546.1       72082.6            4.90934%            11.6762%               32523           528
                 223       64556.5       64555.1       72082.6            11.6581%            11.6606%               32533           530
                 223       65059.4       64556.5       72082.6             10.795%            11.6581%               32644           532
                 223       64806.1         64718       72082.6            11.2281%            11.3795%               32672           534
                 224       65255.1         64718       72082.6            10.4627%            11.3795%               32782           536
                 225       64838.5       64738.6       72082.6            11.1724%            11.3441%               32831           538
                 226       65255.1       64738.6       72082.6            10.4627%            11.3441%               32876           540
                 227       65488.1         64752       72082.6            10.0697%            11.3211%               32963           542
                 227       65861.7         64787       72082.6            9.44543%            11.2608%               33566           544
                 228       65861.7         64787       72082.6            9.44543%            11.2608%               33671           546
                 229       65251.6       64806.1       72082.6            10.4687%            11.2281%               33717           548
                 231       65402.8       64806.1       72082.6            10.2133%            11.2281%               33771           551
                 232       64857.8       64838.5       72082.6            11.1393%            11.1724%               33786           553
                 233       66153.5       64838.5       72082.6            8.96258%            11.1724%               34017           555
                 236       65274.4       64857.8       72082.6            10.4302%            11.1393%               34024           559
                 236       67236.1       64877.7       72082.6             7.2082%            11.1052%               34145           561
                 237       67236.1       64877.7       72082.6             7.2082%            11.1052%               34292           563
                 233       65032.5       64977.3       72082.6            10.8408%             10.935%               34301           565
                 234         65071       65032.5       72082.6            10.7753%            10.8408%               34325           567
                 237       65525.2       65032.5       72082.6            10.0074%            10.8408%               34389           571
                 238         66786       65059.4       72082.6            7.93061%             10.795%               34412           573
                 240       65525.2         65071       72082.6            10.0074%            10.7753%               34460           577
                 243       65525.2         65071       72082.6            10.0074%            10.7753%               34656           581
                 244       65221.3       65119.4       72082.6            10.5201%             10.693%               34659           583
                 243       65221.3       65119.4       72082.6            10.5201%             10.693%               34769           585
                 245       65402.8       65156.8       72082.6            10.2133%            10.6294%               34822           588
                 246       65314.8       65156.8       72082.6            10.3617%            10.6294%               34843           590
                 247       65247.7       65221.3       72082.6            10.4753%            10.5201%               34843           592
                 247       65247.7       65221.3       72082.6            10.4753%            10.5201%               34844           594
                 247       66246.9       65247.7       72082.6            8.80905%            10.4753%               34913           596
                 248       69522.8       65247.7       72082.6              3.682%            10.4753%               35076           598
                 249       66246.9       65247.7       72082.6            8.80905%            10.4753%               35158           600
                 250       69702.5       65247.7       72082.6            3.41457%            10.4753%               35367           602
                 253       65252.5       65251.6       72082.6            10.4671%            10.4687%               35368           606
                 254       65931.9       65251.6       72082.6            9.32876%            10.4687%               35625           608
                 257       65572.4       65252.5       72082.6            9.92827%            10.4671%               35642           612
                 258       66634.3       65252.5       72082.6            8.17633%            10.4671%               36098           614
                 259       66634.3       65252.5       72082.6            8.17633%            10.4671%               36547           616
                 260       66634.3       65252.5       72082.6            8.17633%            10.4671%               37119           618
                 261       65931.9       65255.1       72082.6            9.32876%            10.4627%               37358           620
Killed
